eps,min_samples,nmi,eps_hiac,min_samples_hiac,nmi_hiac
0.015470452,5,0.875776763,0.015470452,5,0.987155626
0.015470452,10,0.821607533,0.015470452,10,0.987155626
0.015470452,15,0.790115322,0.015470452,15,0.987155626
0.015470452,20,0.786204268,0.015470452,20,0.987155626
0.015470452,25,0.780608802,0.015470452,25,0.987155626
0.015470452,30,0.799535366,0.015470452,30,0.987155626
0.015470452,35,0.801842472,0.015470452,35,0.987155626
0.015470452,40,0.841902742,0.015470452,40,0.987155626
0.015470452,45,0.789159702,0.015470452,45,0.987155626
0.015470452,50,0.78393525,0.015470452,50,0.987155626
0.030940903,5,0.808031156,0.030940903,5,0.987155626
0.030940903,10,0.808602502,0.030940903,10,0.987155626
0.030940903,15,0.787811054,0.030940903,15,0.987155626
0.030940903,20,0.789381749,0.030940903,20,0.987155626
0.030940903,25,0.85665288,0.030940903,25,0.987155626
0.030940903,30,0.781844139,0.030940903,30,0.987155626
0.030940903,35,0.799013627,0.030940903,35,0.987155626
0.030940903,40,0.791443169,0.030940903,40,0.987155626
0.030940903,45,0.794703668,0.030940903,45,0.987155626
0.030940903,50,0.807262338,0.030940903,50,0.987155626
0.046411355,5,0.804506008,0.046411355,5,0.987155626
0.046411355,10,0.781589165,0.046411355,10,0.987155626
0.046411355,15,0.802186645,0.046411355,15,0.987155626
0.046411355,20,0.804949412,0.046411355,20,0.987155626
0.046411355,25,0.862826174,0.046411355,25,0.987155626
0.046411355,30,0.846357613,0.046411355,30,0.987155626
0.046411355,35,0.79087291,0.046411355,35,0.987155626
0.046411355,40,0.785471499,0.046411355,40,0.987155626
0.046411355,45,0.78694486,0.046411355,45,0.987155626
0.046411355,50,0.78744961,0.046411355,50,0.987155626
0.061881806,5,0.795491669,0.061881806,5,0.987155626
0.061881806,10,0.782393597,0.061881806,10,0.987155626
0.061881806,15,0.797093767,0.061881806,15,0.987155626
0.061881806,20,0.80174519,0.061881806,20,0.987155626
0.061881806,25,0.793093679,0.061881806,25,0.987155626
0.061881806,30,0.776191672,0.061881806,30,0.987155626
0.061881806,35,0.782559606,0.061881806,35,0.987155626
0.061881806,40,0.782559606,0.061881806,40,0.987155626
0.061881806,45,0.782559606,0.061881806,45,0.987155626
0.061881806,50,0.782559606,0.061881806,50,0.987155626
0.077352258,5,0.786268112,0.077352258,5,0.987155626
0.077352258,10,0.90449674,0.077352258,10,0.987155626
0.077352258,15,0.902557128,0.077352258,15,0.987155626
0.077352258,20,0.905619344,0.077352258,20,0.987155626
0.077352258,25,0.90449674,0.077352258,25,0.987155626
0.077352258,30,0.90449674,0.077352258,30,0.987155626
0.077352258,35,0.90449674,0.077352258,35,0.987155626
0.077352258,40,0.90449674,0.077352258,40,0.987155626
0.077352258,45,0.90449674,0.077352258,45,0.987155626
0.077352258,50,0.90449674,0.077352258,50,0.987155626
0.092822709,5,0.854201977,0.092822709,5,0.987155626
0.092822709,10,0.843847081,0.092822709,10,0.987155626
0.092822709,15,0.863030442,0.092822709,15,0.987155626
0.092822709,20,0.863030442,0.092822709,20,0.987155626
0.092822709,25,0.863030442,0.092822709,25,0.987155626
0.092822709,30,0.863030442,0.092822709,30,0.987155626
0.092822709,35,0.863030442,0.092822709,35,0.987155626
0.092822709,40,0.863030442,0.092822709,40,0.987155626
0.092822709,45,0.863030442,0.092822709,45,0.987155626
0.092822709,50,0.863030442,0.092822709,50,0.987155626
0.108293161,5,0.872324059,0.108293161,5,0.987155626
0.108293161,10,0.878429106,0.108293161,10,0.987155626
0.108293161,15,0.883769299,0.108293161,15,0.987155626
0.108293161,20,0.883769299,0.108293161,20,0.987155626
0.108293161,25,0.883769299,0.108293161,25,0.987155626
0.108293161,30,0.883769299,0.108293161,30,0.987155626
0.108293161,35,0.883769299,0.108293161,35,0.987155626
0.108293161,40,0.883769299,0.108293161,40,0.987155626
0.108293161,45,0.883769299,0.108293161,45,0.987155626
0.108293161,50,0.883769299,0.108293161,50,0.987155626
0.123763612,5,0.950294651,0.123763612,5,0.987155626
0.123763612,10,0.818382094,0.123763612,10,0.987155626
0.123763612,15,0.818382094,0.123763612,15,0.987155626
0.123763612,20,0.818382094,0.123763612,20,0.987155626
0.123763612,25,0.818382094,0.123763612,25,0.987155626
0.123763612,30,0.818382094,0.123763612,30,0.987155626
0.123763612,35,0.818382094,0.123763612,35,0.987155626
0.123763612,40,0.818382094,0.123763612,40,0.987155626
0.123763612,45,0.818382094,0.123763612,45,0.987155626
0.123763612,50,0.818382094,0.123763612,50,0.987155626
0.139234064,5,0.793906721,0.139234064,5,0.987155626
0.139234064,10,0.817257842,0.139234064,10,0.987155626
0.139234064,15,0.817257842,0.139234064,15,0.987155626
0.139234064,20,0.817257842,0.139234064,20,0.987155626
0.139234064,25,0.817257842,0.139234064,25,0.987155626
0.139234064,30,0.817257842,0.139234064,30,0.987155626
0.139234064,35,0.817257842,0.139234064,35,0.987155626
0.139234064,40,0.817257842,0.139234064,40,0.987155626
0.139234064,45,0.817257842,0.139234064,45,0.987155626
0.139234064,50,0.817257842,0.139234064,50,0.987155626
0.154704516,5,0.808022462,0.154704516,5,0.948376352
0.154704516,10,0.819564921,0.154704516,10,0.987155626
0.154704516,15,0.819564921,0.154704516,15,0.987155626
0.154704516,20,0.819564921,0.154704516,20,0.987155626
0.154704516,25,0.819564921,0.154704516,25,0.987155626
0.154704516,30,0.819564921,0.154704516,30,0.987155626
0.154704516,35,0.819564921,0.154704516,35,0.987155626
0.154704516,40,0.819564921,0.154704516,40,0.987155626
0.154704516,45,0.819564921,0.154704516,45,0.987155626
0.154704516,50,0.819564921,0.154704516,50,0.987155626
