eps,min_samples,nmi,eps_hiac,min_samples_hiac,nmi_hiac
1,100,1.0,1,100,1.0
1,200,1.0,1,200,1.0
1,300,1.0,1,300,1.0
1,400,1.0,1,400,1.0
1,500,1.0,1,500,1.0
1,600,1.0,1,600,1.0
1,700,1.0,1,700,1.0
1,800,1.0,1,800,1.0
1,900,1.0,1,900,1.0
1,1000,1.0,1,1000,1.0
2,100,1.0,2,100,1.0
2,200,1.0,2,200,1.0
2,300,1.0,2,300,1.0
2,400,1.0,2,400,1.0
2,500,1.0,2,500,1.0
2,600,1.0,2,600,1.0
2,700,1.0,2,700,1.0
2,800,1.0,2,800,1.0
2,900,1.0,2,900,1.0
2,1000,1.0,2,1000,1.0
3,100,1.0,3,100,1.0
3,200,1.0,3,200,1.0
3,300,1.0,3,300,1.0
3,400,1.0,3,400,1.0
3,500,1.0,3,500,1.0
3,600,1.0,3,600,1.0
3,700,1.0,3,700,1.0
3,800,1.0,3,800,1.0
3,900,1.0,3,900,1.0
3,1000,1.0,3,1000,1.0
4,100,1.0,4,100,1.0
4,200,1.0,4,200,1.0
4,300,1.0,4,300,1.0
4,400,1.0,4,400,1.0
4,500,1.0,4,500,1.0
4,600,1.0,4,600,1.0
4,700,1.0,4,700,1.0
4,800,1.0,4,800,1.0
4,900,1.0,4,900,1.0
4,1000,1.0,4,1000,1.0
5,100,0.9674662647261377,5,100,0.9674662647261377
5,200,0.9674662647261377,5,200,0.9674662647261377
5,300,0.9674662647261377,5,300,0.9674662647261377
5,400,0.9674662647261377,5,400,0.9674662647261377
5,500,0.9674662647261377,5,500,0.9674662647261377
5,600,0.9674662647261377,5,600,0.9674662647261377
5,700,0.9674662647261377,5,700,0.9674662647261377
5,800,0.9674662647261377,5,800,0.9674662647261377
5,900,0.9674662647261377,5,900,0.9674662647261377
5,1000,0.9674662647261377,5,1000,0.9674662647261377
6,100,0.9228808116230593,6,100,0.9228808116230593
6,200,0.9228808116230593,6,200,0.9228808116230593
6,300,0.9228808116230593,6,300,0.9228808116230593
6,400,0.9228808116230593,6,400,0.9228808116230593
6,500,0.9228808116230593,6,500,0.9228808116230593
6,600,0.9228808116230593,6,600,0.9228808116230593
6,700,0.9228808116230593,6,700,0.9228808116230593
6,800,0.9228808116230593,6,800,0.9228808116230593
6,900,0.9228808116230593,6,900,0.9228808116230593
6,1000,0.9228808116230593,6,1000,0.9228808116230593
7,100,0.0,7,100,0.0
7,200,0.0,7,200,0.0
7,300,0.0,7,300,0.0
7,400,0.0,7,400,0.0
7,500,0.0,7,500,0.0
7,600,0.0,7,600,0.0
7,700,0.0,7,700,0.0
7,800,0.0,7,800,0.0
7,900,0.0,7,900,0.0
7,1000,0.0,7,1000,0.0
8,100,0.0,8,100,0.0
8,200,0.0,8,200,0.0
8,300,0.0,8,300,0.0
8,400,0.0,8,400,0.0
8,500,0.0,8,500,0.0
8,600,0.0,8,600,0.0
8,700,0.0,8,700,0.0
8,800,0.0,8,800,0.0
8,900,0.0,8,900,0.0
8,1000,0.0,8,1000,0.0
9,100,0.0,9,100,0.0
9,200,0.0,9,200,0.0
9,300,0.0,9,300,0.0
9,400,0.0,9,400,0.0
9,500,0.0,9,500,0.0
9,600,0.0,9,600,0.0
9,700,0.0,9,700,0.0
9,800,0.0,9,800,0.0
9,900,0.0,9,900,0.0
9,1000,0.0,9,1000,0.0
10,100,0.0,10,100,0.0
10,200,0.0,10,200,0.0
10,300,0.0,10,300,0.0
10,400,0.0,10,400,0.0
10,500,0.0,10,500,0.0
10,600,0.0,10,600,0.0
10,700,0.0,10,700,0.0
10,800,0.0,10,800,0.0
10,900,0.0,10,900,0.0
10,1000,0.0,10,1000,0.0
